account_id,customer_id,account_type,open_date,country,status
ACC0000099,CUST000142,Checking,2024-07-17,FR,Active
ACC0000100,CUST000995,Savings,2025-12-26,FR,Active
ACC0000101,CUST001262,Business,2024-03-08,AE,Active
ACC0000102,CUST001420,Business,2025-09-16,GB,Active
ACC0000103,CUST001158,Business,2025-12-07,FR,Active
ACC0000104,CUST001654,Savings,2025-08-12,NL,Active
ACC0000105,CUST000345,Checking,2023-09-22,FR,Active
ACC0000106,CUST000504,Checking,2026-02-04,NL,Active
ACC0000107,CUST000566,Savings,2024-02-03,GB,Active
ACC0000108,CUST001391,Business,2024-12-28,FR,Active
ACC0000109,CUST001797,Savings,2024-09-17,IN,Frozen
ACC0000110,CUST000912,Savings,2026-06-11,AE,Active
ACC0000111,CUST000997,Business,2025-06-29,US,Active
ACC0000112,CUST000359,Business,2026-01-17,SA,Active
ACC0000113,CUST000167,Savings,2026-06-18,GB,Active
ACC0000114,CUST001825,Business,2025-03-03,DE,Active
ACC0000115,CUST000539,Business,2024-07-21,US,Active
ACC0000116,CUST001489,Checking,2025-07-19,PK,Active
ACC0000117,CUST001739,Business,2026-06-17,PK,Active
ACC0000118,CUST001664,Business,2025-10-12,SA,Active
ACC0000119,CUST000829,Business,2024-09-16,DE,Active
ACC0000120,CUST001856,Checking,2025-02-09,CN,Active
ACC0000121,CUST000533,Business,2024-05-24,CN,Active
ACC0000122,CUST000966,Business,2025-08-08,GB,Closed
ACC0000123,CUST000749,Savings,2024-02-20,DE,Active
ACC0000124,CUST001825,Business,2026-01-25,AE,Frozen
ACC0000125,CUST000274,Savings,2024-09-19,CN,Active
ACC0000126,CUST001045,Checking,2023-12-14,NL,Active
ACC0000127,CUST000745,Business,2025-10-06,PK,Active
ACC0000128,CUST001357,Checking,2025-04-06,SA,Active
ACC0000129,CUST001401,Checking,2025-12-02,CN,Active
ACC0000130,CUST000287,Savings,2026-01-18,GB,Active
ACC0000131,CUST000366,Business,2025-08-22,SA,Active
ACC0000132,CUST001350,Checking,2024-11-26,IN,Active
ACC0000133,CUST001923,Savings,2024-01-18,PK,Active
ACC0000134,CUST000448,Savings,2023-12-21,DE,Active
ACC0000135,CUST000128,Savings,2025-08-07,FR,Active
ACC0000136,CUST000479,Checking,2024-06-02,DE,Active
ACC0000137,CUST001060,Savings,2023-12-29,NL,Active
ACC0000138,CUST000961,Savings,2024-03-16,PK,Active
ACC0000139,CUST000081,Business,2025-10-02,FR,Active
ACC0000140,CUST000211,Business,2025-09-18,CN,Active
ACC0000141,CUST001297,Savings,2023-08-06,AE,Active
ACC0000142,CUST900018,Business,2025-09-08,SA,Active
ACC0000143,CUST000356,Savings,2025-04-01,NL,Active
ACC0000144,CUST000748,Business,2025-07-20,US,Active
ACC0000145,CUST001058,Savings,2026-06-15,NL,Active
ACC0000146,CUST001992,Checking,2024-01-01,CN,Active
ACC0000147,CUST000831,Savings,2026-05-06,FR,Active
ACC0000148,CUST000997,Savings,2024-10-25,SA,Active
ACC0000149,CUST000013,Business,2026-01-10,GB,Active
ACC0000150,CUST000900,Checking,2026-04-10,DE,Active
ACC0000151,CUST000157,Business,2023-11-07,AE,Active
ACC0000152,CUST000433,Checking,2026-05-31,GB,Active
ACC0000153,CUST000322,Savings,2024-02-04,SA,Active
ACC0000154,CUST001469,Checking,2023-09-21,DE,Active
ACC0000155,CUST000849,Savings,2026-06-06,US,Active
ACC0000156,CUST000986,Business,2025-06-20,IN,Active
ACC0000157,CUST000981,Checking,2025-04-20,SA,Active
ACC0000158,CUST000330,Business,2026-05-26,NL,Active
ACC0000159,CUST000045,Checking,2025-05-26,PK,Active
ACC0000160,CUST000261,Business,2024-09-30,SA,Active
ACC0000161,CUST000329,Checking,2023-09-02,CN,Active
ACC0000162,CUST000080,Business,2024-04-09,GB,Active
ACC0000163,CUST000114,Checking,2024-12-29,AE,Active
ACC0000164,CUST001889,Checking,2025-07-30,CN,Active
ACC0000165,CUST001962,Savings,2026-05-10,SA,Closed
ACC0000166,CUST001985,Business,2025-06-22,PK,Active
ACC0000167,CUST001799,Business,2024-08-31,AE,Active
ACC0000168,CUST001939,Checking,2025-08-03,DE,Active
ACC0000169,CUST000919,Business,2025-11-21,IN,Active
ACC0000170,CUST001776,Savings,2025-06-28,GB,Active
ACC0000171,CUST900028,Savings,2025-11-03,SA,Active
ACC0000172,CUST000292,Business,2026-02-03,GB,Active
ACC0000173,CUST001276,Business,2025-06-20,CN,Active
ACC0000174,CUST000541,Checking,2024-05-16,FR,Active
ACC0000175,CUST001888,Savings,2025-06-23,SA,Active
ACC0000176,CUST001209,Checking,2024-08-22,DE,Active
ACC0000177,CUST000774,Savings,2023-12-02,GB,Active
ACC0000178,CUST000222,Checking,2023-10-24,DE,Active
ACC0000179,CUST001070,Business,2024-12-30,NL,Active
ACC0000180,CUST001692,Checking,2025-07-09,SA,Active
ACC0000181,CUST000197,Checking,2025-01-21,IN,Active
ACC0000182,CUST001846,Business,2023-08-21,SA,Active
ACC0000183,CUST000079,Business,2025-03-29,CN,Active
ACC0000184,CUST001540,Checking,2025-03-29,US,Active
ACC0000185,CUST000987,Business,2024-05-14,GB,Closed
ACC0000186,CUST001847,Business,2025-09-29,CN,Active
ACC0000187,CUST001694,Checking,2025-11-20,NL,Active
ACC0000188,CUST001069,Savings,2024-02-06,FR,Active
ACC0000189,CUST001791,Checking,2024-12-25,CN,Active
ACC0000190,CUST000878,Checking,2025-06-14,IN,Active
ACC0000191,CUST001617,Savings,2024-11-01,FR,Active
ACC0000192,CUST001206,Business,2025-03-28,SA,Active
ACC0000193,CUST000200,Savings,2023-11-11,GB,Active
ACC0000194,CUST000521,Savings,2023-10-03,DE,Active
ACC0000195,CUST001863,Checking,2026-03-22,AE,Active
ACC0000196,CUST001225,Business,2025-11-21,NL,Active
ACC0000197,CUST000527,Checking,2024-02-10,PK,Active
ACC0000198,CUST001452,Business,2025-12-10,PK,Active
ACC0000199,CUST001183,Business,2023-08-18,US,Active
ACC0000200,CUST001064,Checking,2025-03-11,NL,Closed
ACC0000201,CUST001340,Checking,2025-02-18,FR,Active
ACC0000202,CUST000837,Savings,2025-12-09,US,Active
ACC0000203,CUST000316,Savings,2024-12-29,SA,Active
ACC0000204,CUST000519,Savings,2025-01-31,CN,Active
ACC0000205,CUST000867,Business,2025-04-11,FR,Active
ACC0000206,CUST001253,Savings,2025-08-26,NL,Active
ACC0000207,CUST001546,Checking,2025-11-16,NL,Active
ACC0000208,CUST001130,Business,2023-12-07,IN,Active
ACC0000209,CUST000366,Savings,2025-10-07,CN,Active
ACC0000210,CUST001136,Savings,2026-05-22,AE,Active
ACC0000211,CUST000628,Business,2026-03-10,FR,Active
ACC0000212,CUST001585,Business,2024-02-05,NL,Active
ACC0000213,CUST001506,Checking,2025-04-26,US,Closed
ACC0000214,CUST001531,Checking,2024-02-04,IN,Active
ACC0000215,CUST001603,Business,2025-03-10,GB,Active
ACC0000216,CUST000205,Checking,2025-11-27,CN,Active
ACC0000217,CUST000820,Savings,2023-12-06,CN,Active
ACC0000218,CUST001257,Business,2023-12-12,PK,Active
ACC0000219,CUST000329,Savings,2024-03-03,PK,Active
ACC0000220,CUST001647,Checking,2024-01-15,GB,Active
ACC0000221,CUST000965,Business,2025-03-18,NL,Active
ACC0000222,CUST000180,Checking,2026-01-20,AE,Active
ACC0000223,CUST000454,Savings,2023-09-03,US,Active
ACC0000224,CUST001247,Checking,2026-06-06,NL,Active
ACC0000225,CUST001906,Savings,2025-01-17,SA,Active
ACC0000226,CUST001343,Business,2024-08-18,AE,Active
ACC0000227,CUST001457,Business,2025-02-27,PK,Active
ACC0000228,CUST001936,Checking,2024-10-20,IN,Active
ACC0000229,CUST000899,Checking,2026-04-30,DE,Active
ACC0000230,CUST900015,Business,2023-07-28,CN,Active
ACC0000231,CUST000585,Checking,2024-06-12,PK,Active
ACC0000232,CUST001605,Business,2026-05-01,CN,Active
ACC0000233,CUST001056,Business,2025-01-31,DE,Active
ACC0000234,CUST001259,Checking,2025-11-08,PK,Active
ACC0000235,CUST000736,Checking,2025-06-29,PK,Active
ACC0000236,CUST900002,Checking,2024-11-13,US,Active
ACC0000237,CUST000565,Savings,2025-04-03,FR,Active
ACC0000238,CUST001371,Savings,2025-08-06,NL,Active
ACC0000239,CUST001200,Checking,2025-02-04,CN,Active
ACC0000240,CUST000031,Business,2026-06-13,US,Active
ACC0000241,CUST001882,Checking,2024-08-06,CN,Active
ACC0000242,CUST000582,Business,2025-02-20,CN,Active
ACC0000243,CUST001873,Business,2024-03-07,FR,Frozen
ACC0000244,CUST000711,Savings,2023-11-10,DE,Active
ACC0000245,CUST001241,Checking,2025-12-17,IN,Active
ACC0000246,CUST001904,Savings,2024-04-05,SA,Active
ACC0000247,CUST000009,Savings,2024-02-13,GB,Active
ACC0000248,CUST000833,Business,2024-06-11,US,Active
ACC0000249,CUST001144,Checking,2025-12-31,CN,Active
ACC0000250,CUST000602,Savings,2026-05-13,US,Active
ACC0000251,CUST001644,Business,2025-04-29,AE,Active
ACC0000252,CUST001794,Business,2024-03-14,SA,Active
ACC0000253,CUST000512,Business,2024-08-13,IN,Active
ACC0000254,CUST001978,Savings,2023-12-11,SA,Active
ACC0000255,CUST000990,Checking,2025-05-21,FR,Active
ACC0000256,CUST001968,Savings,2023-10-15,IN,Active
ACC0000257,CUST001836,Business,2024-04-24,PK,Active
ACC0000258,CUST000987,Checking,2024-09-06,AE,Active
ACC0000259,CUST000138,Savings,2026-03-17,DE,Active
ACC0000260,CUST001386,Business,2024-09-26,DE,Active
ACC0000261,CUST001638,Savings,2023-10-24,NL,Active
ACC0000262,CUST001956,Savings,2024-04-23,CN,Active
ACC0000263,CUST001097,Checking,2024-10-23,AE,Active
ACC0000264,CUST000508,Savings,2025-08-06,US,Active
ACC0000265,CUST000817,Business,2025-02-18,FR,Active
ACC0000266,CUST000155,Business,2023-10-11,GB,Active
ACC0000267,CUST000975,Savings,2025-09-16,FR,Active
ACC0000268,CUST000447,Business,2026-06-23,AE,Active
ACC0000269,CUST000374,Business,2025-08-08,DE,Active
ACC0000270,CUST001021,Business,2024-02-18,DE,Active
ACC0000271,CUST000480,Business,2024-08-27,DE,Active
ACC0000272,CUST001787,Savings,2025-06-27,DE,Active
ACC0000273,CUST000469,Checking,2025-12-18,DE,Active
ACC0000274,CUST001712,Business,2025-05-02,FR,Closed
ACC0000275,CUST000319,Checking,2024-10-17,US,Active
ACC0000276,CUST001884,Checking,2024-01-07,IN,Active
ACC0000277,CUST001257,Checking,2026-06-19,CN,Active
ACC0000278,CUST001961,Checking,2024-11-01,IN,Active
ACC0000279,CUST000760,Business,2023-08-24,FR,Active
ACC0000280,CUST001008,Business,2025-05-01,AE,Active
ACC0000281,CUST001005,Checking,2023-10-18,CN,Active
ACC0000282,CUST000573,Savings,2023-12-07,DE,Active
ACC0000283,CUST001536,Business,2023-11-22,GB,Active
ACC0000284,CUST000110,Business,2025-03-03,NL,Active
ACC0000285,CUST000979,Business,2023-10-06,PK,Active
ACC0000286,CUST001029,Savings,2025-06-09,NL,Closed
ACC0000287,CUST001762,Business,2024-08-17,GB,Active
ACC0000288,CUST000936,Checking,2024-07-17,CN,Active
ACC0000289,CUST000942,Savings,2024-05-14,PK,Active
ACC0000290,CUST000024,Business,2026-02-08,DE,Active
ACC0000291,CUST000777,Business,2024-03-24,US,Active
ACC0000292,CUST000666,Savings,2023-08-07,SA,Active
ACC0000293,CUST001765,Savings,2024-09-02,GB,Active
ACC0000294,CUST001123,Savings,2026-05-25,DE,Active
ACC0000295,CUST000551,Savings,2024-09-03,SA,Active
ACC0000296,CUST000702,Savings,2023-11-16,GB,Active
ACC0000297,CUST001021,Savings,2026-04-09,DE,Active
ACC0000298,CUST000858,Business,2024-01-31,FR,Active
ACC0000299,CUST000747,Savings,2025-09-11,AE,Active
ACC0000300,CUST000923,Checking,2024-06-18,SA,Active
ACC0000301,CUST000268,Business,2025-12-19,DE,Active
ACC0000302,CUST001667,Checking,2024-12-30,AE,Active
ACC0000303,CUST001646,Checking,2025-02-10,CN,Active
ACC0000304,CUST000885,Savings,2025-08-12,DE,Closed
ACC0000305,CUST000298,Business,2026-02-04,GB,Active
ACC0000306,CUST000968,Checking,2025-03-06,GB,Active
ACC0000307,CUST000863,Savings,2025-05-05,GB,Active
ACC0000308,CUST001829,Business,2026-03-09,CN,Active
ACC0000309,CUST001093,Business,2024-01-26,FR,Active
ACC0000310,CUST001608,Savings,2026-05-01,AE,Active
ACC0000311,CUST000513,Business,2024-09-15,SA,Active
ACC0000312,CUST000097,Savings,2024-07-29,US,Active
ACC0000313,CUST001414,Checking,2025-09-25,PK,Active
ACC0000314,CUST000441,Savings,2026-05-24,IN,Frozen
ACC0000315,CUST001718,Business,2025-02-13,US,Active
ACC0000316,CUST000921,Business,2025-04-21,FR,Active
ACC0000317,CUST000532,Savings,2026-01-18,FR,Active
ACC0000318,CUST001147,Business,2024-12-17,AE,Active
ACC0000319,CUST000704,Checking,2023-12-10,NL,Active
ACC0000320,CUST000248,Savings,2023-08-07,SA,Active
ACC0000321,CUST000407,Business,2025-01-25,SA,Active
ACC0000322,CUST001330,Business,2024-01-09,CN,Active
ACC0000323,CUST000357,Savings,2023-12-09,FR,Active
ACC0000324,CUST000665,Business,2024-09-03,CN,Active
ACC0000325,CUST000998,Business,2025-09-18,IN,Closed
ACC0000326,CUST001821,Checking,2023-09-22,NL,Active
ACC0000327,CUST001256,Savings,2025-09-08,IN,Active
ACC0000328,CUST001293,Checking,2026-05-31,GB,Active
ACC0000329,CUST001311,Savings,2025-08-20,NL,Active
ACC0000330,CUST001292,Business,2024-04-18,SA,Active
ACC0000331,CUST000828,Checking,2025-05-06,US,Active
ACC0000332,CUST900008,Savings,2025-08-19,DE,Active
ACC0000333,CUST000642,Savings,2024-02-08,AE,Active
ACC0000334,CUST001454,Savings,2026-06-13,SA,Active
ACC0000335,CUST001320,Savings,2025-11-25,AE,Active
ACC0000336,CUST001817,Savings,2025-01-13,FR,Active
ACC0000337,CUST001531,Business,2024-05-17,CN,Active
ACC0000338,CUST001977,Savings,2024-10-25,NL,Active
ACC0000339,CUST000342,Checking,2026-04-26,PK,Active
ACC0000340,CUST000256,Business,2026-02-21,DE,Active
ACC0000341,CUST001355,Savings,2025-12-11,US,Active
ACC0000342,CUST000431,Checking,2024-06-17,NL,Active
ACC0000343,CUST000210,Checking,2026-01-27,US,Active
ACC0000344,CUST001918,Savings,2026-05-02,CN,Closed
ACC0000345,CUST000110,Checking,2024-10-03,NL,Active
ACC0000346,CUST001073,Checking,2024-06-25,US,Active
ACC0000347,CUST000537,Business,2023-11-01,GB,Active
ACC0000348,CUST000172,Business,2023-10-20,NL,Active
ACC0000349,CUST000633,Checking,2025-09-13,DE,Active
ACC0000350,CUST001510,Savings,2026-04-30,IN,Active
ACC0000351,CUST001283,Checking,2024-01-20,GB,Active
ACC0000352,CUST001078,Checking,2023-09-27,PK,Active
ACC0000353,CUST000071,Business,2025-09-27,FR,Active
ACC0000354,CUST001762,Savings,2025-03-09,IN,Active
ACC0000355,CUST000956,Business,2025-01-03,AE,Active
ACC0000356,CUST001123,Savings,2026-02-14,GB,Active
ACC0000357,CUST001985,Business,2026-05-18,CN,Active
ACC0000358,CUST000362,Business,2024-10-21,SA,Active
ACC0000359,CUST000935,Business,2025-01-20,SA,Active
ACC0000360,CUST000890,Business,2025-09-14,CN,Active
ACC0000361,CUST000634,Savings,2024-12-20,IN,Active
ACC0000362,CUST001105,Checking,2025-01-27,US,Active
ACC0000363,CUST000904,Savings,2026-06-25,FR,Active
ACC0000364,CUST000844,Savings,2026-02-28,GB,Active
ACC0000365,CUST000621,Checking,2025-08-09,PK,Active
ACC0000366,CUST001071,Checking,2024-10-02,FR,Active
ACC0000367,CUST000587,Savings,2025-05-14,CN,Active
ACC0000368,CUST000017,Business,2026-03-25,IN,Active
ACC0000369,CUST001939,Savings,2025-09-30,AE,Active
ACC0000370,CUST000018,Savings,2025-08-27,AE,Active
ACC0000371,CUST001222,Checking,2025-08-14,PK,Active
ACC0000372,CUST001122,Savings,2025-10-04,DE,Active
ACC0000373,CUST000843,Business,2024-04-13,NL,Active
ACC0000374,CUST000808,Checking,2025-09-22,GB,Active
ACC0000375,CUST001464,Business,2026-05-06,NL,Active
ACC0000376,CUST001696,Savings,2025-12-21,DE,Active
ACC0000377,CUST000538,Checking,2026-02-20,NL,Active
ACC0000378,CUST001280,Checking,2025-02-09,CN,Active
ACC0000379,CUST001565,Business,2025-05-07,AE,Active
ACC0000380,CUST000583,Business,2025-05-05,CN,Active
ACC0000381,CUST001656,Savings,2026-05-21,NL,Active
ACC0000382,CUST000385,Checking,2025-07-16,GB,Active
ACC0000383,CUST000279,Savings,2026-02-22,US,Active
ACC0000384,CUST001304,Savings,2025-02-05,SA,Active
ACC0000385,CUST000927,Savings,2024-03-23,SA,Active
ACC0000386,CUST001007,Checking,2023-10-16,FR,Active
ACC0000387,CUST000039,Checking,2026-01-07,PK,Active
ACC0000388,CUST001985,Business,2025-01-25,PK,Active
ACC0000389,CUST000380,Checking,2026-05-08,AE,Active
ACC0000390,CUST000551,Checking,2024-10-20,IN,Active
ACC0000391,CUST001489,Checking,2024-09-04,DE,Active
ACC0000392,CUST000184,Checking,2024-08-28,PK,Active
ACC0000393,CUST001010,Checking,2023-11-25,FR,Active
ACC0000394,CUST000860,Savings,2026-03-28,IN,Active
ACC0000395,CUST000760,Savings,2024-04-19,PK,Active
ACC0000396,CUST000676,Checking,2025-02-21,GB,Active
ACC0000397,CUST000114,Savings,2025-10-21,NL,Active
ACC0000398,CUST000146,Business,2023-11-30,IN,Active
ACC0000399,CUST000371,Checking,2024-06-10,AE,Active
ACC0000400,CUST001673,Savings,2024-06-04,PK,Active
ACC0000401,CUST000249,Business,2024-03-11,DE,Active
ACC0000402,CUST000788,Savings,2025-09-21,DE,Active
ACC0000403,CUST001510,Checking,2025-03-25,DE,Active
ACC0000404,CUST000943,Business,2024-03-15,US,Active
ACC0000405,CUST001067,Business,2024-06-16,DE,Active
ACC0000406,CUST000968,Savings,2026-04-17,AE,Active
ACC0000407,CUST001917,Savings,2025-06-12,GB,Active
ACC0000408,CUST001288,Business,2025-12-24,PK,Frozen
ACC0000409,CUST001525,Business,2023-09-03,CN,Active
ACC0000410,CUST000250,Savings,2024-12-02,IN,Active
ACC0000411,CUST001307,Savings,2025-05-16,DE,Active
ACC0000412,CUST000738,Checking,2024-12-29,DE,Active
ACC0000413,CUST001993,Checking,2024-08-10,DE,Active
ACC0000414,CUST001296,Savings,2025-05-14,FR,Active
ACC0000415,CUST000030,Checking,2024-07-12,AE,Closed
ACC0000416,CUST001197,Checking,2024-08-08,NL,Active
ACC0000417,CUST001616,Checking,2023-08-02,PK,Active
ACC0000418,CUST001984,Checking,2026-03-02,SA,Active
ACC0000419,CUST001604,Business,2024-02-11,IN,Active
ACC0000420,CUST001409,Business,2024-08-08,GB,Active
ACC0000421,CUST000760,Checking,2023-11-13,DE,Active
ACC0000422,CUST000322,Savings,2025-01-02,US,Active
ACC0000423,CUST001404,Business,2023-10-26,FR,Active
ACC0000424,CUST001906,Business,2025-01-26,PK,Active
ACC0000425,CUST000122,Savings,2024-01-07,GB,Active
ACC0000426,CUST001436,Business,2023-12-07,US,Active
ACC0000427,CUST000257,Savings,2024-12-28,DE,Closed
ACC0000428,CUST000648,Business,2024-01-09,FR,Active
ACC0000429,CUST001649,Savings,2025-06-26,DE,Active
ACC0000430,CUST000043,Business,2024-03-25,NL,Active
ACC0000431,CUST000733,Business,2024-09-21,GB,Active
ACC0000432,CUST000513,Checking,2024-06-11,IN,Frozen
ACC0000433,CUST001447,Savings,2024-10-26,CN,Active
ACC0000434,CUST000603,Business,2024-02-07,IN,Closed
ACC0000435,CUST000388,Business,2025-12-09,GB,Active
ACC0000436,CUST001113,Savings,2023-11-20,FR,Active
ACC0000437,CUST001499,Savings,2024-11-06,AE,Active
ACC0000438,CUST001776,Business,2026-01-07,CN,Active
ACC0000439,CUST000328,Checking,2024-01-16,CN,Active
ACC0000440,CUST000317,Savings,2024-08-08,AE,Active
ACC0000441,CUST001678,Savings,2024-11-01,CN,Active
ACC0000442,CUST000751,Savings,2024-08-13,PK,Active
ACC0000443,CUST001589,Business,2026-02-09,CN,Active
ACC0000444,CUST000776,Business,2024-02-24,GB,Active
ACC0000445,CUST001808,Checking,2024-02-15,SA,Active
ACC0000446,CUST001754,Savings,2023-09-08,SA,Active
ACC0000447,CUST000489,Savings,2024-09-20,US,Active
ACC0000448,CUST001348,Business,2025-09-28,NL,Active
ACC0000449,CUST000388,Business,2026-03-14,IN,Active
ACC0000450,CUST001568,Business,2024-01-14,GB,Active
ACC0000451,CUST001255,Savings,2024-02-25,FR,Closed
ACC0000452,CUST000839,Business,2024-12-19,FR,Active
ACC0000453,CUST000226,Checking,2025-07-06,CN,Active
ACC0000454,CUST001349,Checking,2024-05-06,PK,Active
ACC0000455,CUST001710,Checking,2024-10-18,GB,Active
ACC0000456,CUST001788,Checking,2025-03-05,DE,Active
ACC0000457,CUST000219,Savings,2025-11-26,DE,Active
ACC0000458,CUST000202,Checking,2025-08-27,SA,Active
ACC0000459,CUST001314,Savings,2024-07-08,IN,Active
ACC0000460,CUST001076,Business,2025-10-19,SA,Frozen
ACC0000461,CUST000524,Checking,2026-02-21,FR,Active
ACC0000462,CUST000452,Business,2025-01-12,US,Active
ACC0000463,CUST000026,Checking,2026-04-07,IN,Active
ACC0000464,CUST001901,Checking,2026-01-11,IN,Active
ACC0000465,CUST001640,Business,2024-09-14,PK,Active
ACC0000466,CUST000739,Business,2023-11-21,NL,Active
ACC0000467,CUST001683,Savings,2023-11-19,PK,Active
ACC0000468,CUST001686,Business,2023-08-19,AE,Active
ACC0000469,CUST001083,Checking,2024-01-09,US,Active
ACC0000470,CUST001708,Savings,2025-01-11,US,Active
